http://edrn.nci.nih.gov/data/sites/188,Prostate,Discovery and Quantification of Transcriptomic Biomarkers for the Early Detection of Aggressive Prostate Cancer
http://edrn.nci.nih.gov/data/sites/161,Pancreas,The Detection and Prognosis of Early Stage Pancreatic Cancer by Interdependent Plasma Markers
http://edrn.nci.nih.gov/data/sites/341,Pancreas,Biomarkers for the Early Detection of Pancreatic Cancer
http://edrn.nci.nih.gov/data/sites/67,Colorectal,
http://edrn.nci.nih.gov/data/sites/108,Prostate,
http://edrn.nci.nih.gov/data/sites/595,Lung,The Boston University-UCLA Lung Cancer Biomarker Development Lab
http://edrn.nci.nih.gov/data/sites/92,Prostate,Development of Protein Biomarkers in Post-DRE Urine for use in Liquid Biopsy of Prostate Cancer
http://edrn.nci.nih.gov/data/sites/597,"Colorectal,Lung",Vanderbilt Biomarker Developmental Laboratory
http://edrn.nci.nih.gov/data/sites/191,Pancreas,Biomarkers for the Early Detection of Pancreatic Cancer
http://edrn.nci.nih.gov/data/sites/190,Pancreas,Early Diagnosis of Pancreatic Cancer
http://edrn.nci.nih.gov/data/sites/192,Prostate,The Early Detection Research Network: Biomarker Developmental Laboratory
http://edrn.nci.nih.gov/data/sites/599,Colorectal,Spectral Markers for Early Detection of Colon Neoplasia
http://edrn.nci.nih.gov/data/sites/598,"Colorectal,Lung",Vanderbilt Biomarker Developmental Laboratory
http://edrn.nci.nih.gov/data/sites/596,Prostate,A Systems Biology Approach to the Development of Cancer Biomarkers
http://edrn.nci.nih.gov/data/sites/592,Colorectal,Affinity Based Strategies to Fast Track Development of Colon Cancer Biomarkers
http://edrn.nci.nih.gov/data/sites/594,Lung,The Boston University-UCLA Lung Cancer Biomarker Development Lab
http://edrn.nci.nih.gov/data/sites/620,"Breast cancer (female),Lung",
http://edrn.nci.nih.gov/data/sites/448,Prostate,Glycoprotein Biomarkers for Early Detection of Aggressive Prostate Cancer
http://edrn.nci.nih.gov/data/sites/608,Pancreas,Biomarkers for the Early Detection of Pancreatic Cancer
http://edrn.nci.nih.gov/data/sites/201,"Bladder, Colon, Esophagus, Lung",
http://edrn.nci.nih.gov/data/sites/200,Prostate,
http://edrn.nci.nih.gov/data/sites/203,Prostate,
http://edrn.nci.nih.gov/data/sites/202,Breast and Ovarian,
http://edrn.nci.nih.gov/data/sites/86,Lung,Integrated Development of Novel Molecular Markers
http://edrn.nci.nih.gov/data/sites/84,Lung,
http://edrn.nci.nih.gov/data/sites/81,Breast and Ovarian,Breast Cancer Detection Consortium
http://edrn.nci.nih.gov/data/sites/523,Breast and Ovarian,Novel Approaches to Study Immune Responses to Post Translational Modifications for Cancer Detection
http://edrn.nci.nih.gov/data/sites/234,Ovary,
http://edrn.nci.nih.gov/data/sites/236,Ovary,
http://edrn.nci.nih.gov/data/sites/452,Ovarian,"Proteomic, Genomic, and Longitudinal Pathways to Ovarian Cancer Biomarker Discovery"
http://edrn.nci.nih.gov/data/sites/424,Prostate,New Tools for Prostate Cancer Detection and Prognostication
http://edrn.nci.nih.gov/data/sites/593,Breast and Ovarian,
http://edrn.nci.nih.gov/data/sites/455,Colorectal,Refinement and Discovery of Nuclear Matrix Protein Markers for Colorectal Cancer
http://edrn.nci.nih.gov/data/sites/158,Breast and Ovarian,An Integrated Systems Biology Approach for Ovarian Cancer Biomarker Discovery
http://edrn.nci.nih.gov/data/sites/156,Pancreas,Detection of Pre-Invasive Pancreatic Cysts Using Protein and Glycan Biomarkers
http://edrn.nci.nih.gov/data/sites/416,Pancreas,The Detection and Prognosis of Early Stage Pancreatic Cancer by Interdependent Plasma Markers
http://edrn.nci.nih.gov/data/sites/611,Lung,
http://edrn.nci.nih.gov/data/sites/160,Colon and Esophagus,Biomarkers for Reducing Mortality of Cancers of the Colon and Esophagus
http://edrn.nci.nih.gov/data/sites/88,Prostate,
http://edrn.nci.nih.gov/data/sites/613,Breast and Ovarian,"Proteomic, Genetic and Longitudinal Pathways to Ovarian Cancer Biomarker Discovery"
http://edrn.nci.nih.gov/data/sites/610,Ovarian,"Proteomic, Genomic, and Longitudinal Pathways to Ovarian Cancer Biomarker Discovery"
http://edrn.nci.nih.gov/data/sites/169,Colon and Esophagus,Biomarkers for Reducing Mortality of Cancers of the Colon and Esophagus
http://edrn.nci.nih.gov/data/sites/241,Lung,The Boston University-UCLA Lung Cancer Biomarker Development Lab
http://edrn.nci.nih.gov/data/sites/240,Lung,
http://edrn.nci.nih.gov/data/sites/409,Lung,The North American Mesothelioma Consortium
http://edrn.nci.nih.gov/data/sites/609,Colorectal,ctDNA for the Early Detection and Monitoring of Colorectal Cancer
http://edrn.nci.nih.gov/data/sites/176,Lung,The EDRN Mesothelioma Biomarker Discovery Laboratory
http://edrn.nci.nih.gov/data/sites/601,Lung,The Boston University-UCLA Lung Cancer Biomarker Development Lab
http://edrn.nci.nih.gov/data/sites/600,"Breast and Ovarian,Lung","MiRNAs/UCRs: Biomarkers for Cancer Risk, Tumor Detection, Progression and Treatment"
http://edrn.nci.nih.gov/data/sites/602,Prostate,New Tools for Prostate Cancer Detection and Prognostication
http://edrn.nci.nih.gov/data/sites/605,Prostate,The Prostate Cancer Tumor Microenvironment Exhibits Differentially Expressed Genes
http://edrn.nci.nih.gov/data/sites/607,Pancreas,Early Diagnosis of Pancreatic Cancer
http://edrn.nci.nih.gov/data/sites/606,Prostate,The Prostate Cancer Tumor Microenvironment Exhibits Differentially Expressed Genes
http://edrn.nci.nih.gov/data/sites/151,Colorectal,Affinity Based Strategies to Fast Track Development of Colon Cancer Biomarkers
http://edrn.nci.nih.gov/data/sites/727,Colorectal,ctDNA for the Early Detection and Monitoring of Colorectal Cancer
http://edrn.nci.nih.gov/data/sites/230,Breast and Ovarian,Novel Approaches to Study Immune Responses to Post Translational Modifications for Cancer Detection
http://edrn.nci.nih.gov/data/sites/5000,Lung,
http://edrn.nci.nih.gov/data/sites/193,Colorectal,Spectral Markers for Early Detection of Colon Neoplasia
http://edrn.nci.nih.gov/data/sites/742,"Bladder,Breast cancer (female),Ovary,Prostate",
http://edrn.nci.nih.gov/data/sites/800,Ovarian,Development of in vitro Diagnostic Mulitvariate Index Assay Using Liquid-based Cervical Cytology Specimen and/or Serum/Plasma Biomarkers for the Detection of Early Stage or Low-volume Ovarian Cancer
http://edrn.nci.nih.gov/data/sites/797,Pancreas,
http://edrn.nci.nih.gov/data/sites/799,"Breast cancer (female),Lung",
http://edrn.nci.nih.gov/data/sites/798,Lung,"Integration of Biomarker Signatures from Peripheral Blood for Diagnosis, Prognosis, Remission and Recurrence of Lung Cancer"
http://edrn.nci.nih.gov/data/sites/812,Breast and Ovarian,A Unique Approach Combining Avatar Mice and Targeted Mass Spectrometry to Identify Blood Biomarkers for Early Detection of Breast Cancer
http://edrn.nci.nih.gov/data/sites/813,Lung,Ultrasensitive Detection of Tumor Specific DNA Methylation Changes for the Early Detection of Lung Cancer
http://edrn.nci.nih.gov/data/sites/818,Lung,Ultrasensitive Detection of Tumor Specific DNA Methylation Changes for the Early Detection of Lung Cancer
http://edrn.nci.nih.gov/data/sites/819,Colon and Esophagus,Biomarkers for Reducing Mortality of Cancers of the Colon and Esophagus
http://edrn.nci.nih.gov/data/sites/814,"Breast cancer (female),Ovary",
http://edrn.nci.nih.gov/data/sites/815,"Breast cancer (female),Lung",
http://edrn.nci.nih.gov/data/sites/816,"Breast cancer (female),Lung",
http://edrn.nci.nih.gov/data/sites/817,Prostate,Discovery and Quantification of Transcriptomic Biomarkers for the Early Detection of Aggressive Prostate Cancer
http://edrn.nci.nih.gov/data/sites/829,Ovarian,Development of in vitro Diagnostic Mulitvariate Index Assay Using Liquid-based Cervical Cytology Specimen and/or Serum/Plasma Biomarkers for the Detection of Early Stage or Low-volume Ovarian Cancer
http://edrn.nci.nih.gov/data/sites/825,Lung,The Boston University-UCLA Lung Cancer Biomarker Development Lab
http://edrn.nci.nih.gov/data/sites/827,Pancreas,The Detection and Prognosis of Early Stage Pancreatic Cancer by Interdependent Plasma Markers
http://edrn.nci.nih.gov/data/sites/826,Prostate,Glycoprotein Biomarkers for Early Detection of Aggressive Prostate Cancer
http://edrn.nci.nih.gov/data/sites/821,Breast and Ovarian,A Unique Approach Combining Avatar Mice and Targeted Mass Spectrometry to Identify Blood Biomarkers for Early Detection of Breast Cancer
http://edrn.nci.nih.gov/data/sites/820,Breast and Ovarian,Breast Cancer Detection Consortium
http://edrn.nci.nih.gov/data/sites/823,Prostate,Development of Protein Biomarkers in Post-DRE Urine for use in Liquid Biopsy of Prostate Cancer
http://edrn.nci.nih.gov/data/sites/822,Prostate,Development of Protein Biomarkers in Post-DRE Urine for use in Liquid Biopsy of Prostate Cancer
http://edrn.nci.nih.gov/data/sites/831,Lung,The EDRN Mesothelioma Biomarker Discovery Laboratory
urn:site:b,"Anus,Rectum",A Detailed Study of Anal Cancer (test)
